Masculine,Feminine,Neuter,Declensions
meus,mea,meum,I-II
mille,,,Indecl
mīrus,mīra,mīrum,I-II
miser,misera,miserum,I-II
mollis,mollis,molle,III
mortuus,mortua,mortuum,I-II
mūlīnus,mūlīna,mūlīnum,I-II
multus,multa,multum,I-II
mūsculāris,mūsculāris,mūsculāre,III
narrātīvus,narrātīva,narrātīvum,I-II
nāsālis,nāsālis,nāsāle,III
nātālis,nātālis,nātāle,III
negātīvus,negātīva,negātīvum,I-II
neuter,neutra,neutrum,Pron
niger,nigra,nigrum,I-II
nōminātīvus,nōminātīva,nōminātīvum,I-II
nōnāgintā,,,Indecl
nōnus,nōna,nōnum,I-II
noster,nostra,nostrum,I-II
novem,,,Indecl
november,novembris,novembre,III
novus,nova,novum,I-II
obscūrus,obscūra,obscūrum,I-II
occidentālis,occidentālis,occidentāle,III
octāvus,octāva,octāvum,I-II
octō,,,Indecl
octōber,octōbris,octōbre,III
octōgintā,,,Indecl
oculāris,oculāris,oculāre,III
ōminōsus,ōminōsa,ōminōsum,I-II
ōrālis,ōrālis,ōrāle,III
ōrātōrius,ōrātōria,ōrātōrium,I-II
orientālis,orientālis,orientāle,III
ōtiōsus,ōtiōsa,ōtiōsum,I-II
parvus,parva,parvum,I-II
passerīnus,passerīna,passerīnum,I-II
paucī,paucae,pauca,I-II
pauper,pauper,pauper,III
pāvōnīnus,pāvōnīna,pāvōnīnum,I-II
pedālis,pedālis,pedāle,III
pellārius,pellāria,pellārium,I-II
pinguis,pinguis,pingue,III
plānus,plāna,plānum,I-II
populāris,populāris,populāre,III
porcīnus,porcīna,porcīnum,I-II
posterus,postera,posterum,I-II
potēns,potēns,potēns,III
prīmus,prīma,prīmum,I-II
profundus,profunda,profundum,I-II
propinquus,propinqua,propinquum,I-II
pūblicus,pūblica,pūblicum,I-II
pulcher,pulchra,pulchrum,I-II
pulmōnārius,pulmōnāria,pulmōnārium,I-II
pūrus,pūra,pūrum,I-II
quadrāgintā,,,Indecl
quadrātus,quadrāta,quadrātum,I-II
quārtus,quārta,quārtum,I-II
quattuor,,,Indecl
quī,quae,quod,Pron
quīnquāgintā,,,Indecl
quīnque,,,Indecl
quīntus,quīnta,quīntum,I-II
quis,quis,quid,Pron
quisque,quisque,quidque,Pron
quisquis,quisquis,quicquid,Pron
rabidus,rabida,rabidum,I-II
rapidus,rapida,rapidum,I-II
rārus,rāra,rārum,I-II
renālis,renālis,renāle,III
Rōmānus,Rōmāna,Rōmānum,I-II
roseus,rosea,roseum,I-II
rotundus,rotunda,rotundum,I-II
ruber,rubra,rubrum,I-II
rūrālis,rūrālis,rūrāle,III
rūsticus,rūstica,rūsticum,I-II
sacer,sacra,sacrum,I-II
salūber,salūbris,salūbre,III
salūtātōrius,salūtātōria,salūtātōrium,I-II
sānctus,sāncta,sānctum,I-II
sanguinārius,sanguināria,sanguinārium,I-II
sānus,sāna,sānum,I-II
sapiēns,sapiēns,sapiēns,III
Sardus,Sarda,Sardum,I-II
scelestus,scelesta,scelestum,I-II
secundus,secunda,secundum,I-II
senex,senex,senex,III
sēnsuālis,sēnsuālis,sēnsuāle,III
septem,,,Indecl
september,septembris,septembre,III
septimus,septima,septimum,I-II
septuāgintā,,,Indecl
serpentīnus,serpentīna,serpentīnum,I-II
servīlis,servīlis,servīle,III
sex,,,Indecl
sexāgintā,,,Indecl
sextus,sexta,sextum,I-II
sexuālis,sexuālis,sexuāle,III
siccus,sicca,siccum,I-II
Siculus,Sicula,Siculum,I-II
sīmiānus,sīmiāna,sīmiānum,I-II
similis,similis,simile,III
sinister,sinistra,sinistrum,I-II
sōlus,sōla,sōlum,Pron
somnolentus,somnolenta,somnolentum,I-II
sordidus,sordida,sordidum,I-II
spirituālis,spirituālis,spirituāle,III
superus,supera,superum,I-II
suus,sua,suum,I-II
Syrus,Syra,Syrum,I-II
tacitus,tacita,tacitum,I-II
taediōsus,taediōsa,taediōsum,I-II
talāris,talāris,talāre,III
tardus,tarda,tardum,I-II
taurīnus,taurīna,taurīnum,I-II
tenuis,tenuis,tenue,III
tepidus,tepida,tepidum,I-II
tertius,tertia,tertium,I-II
Thrāx,Thrāx,Thrāx,III
timidus,timida,timidum,I-II
tōtus,tōta,tōtum,Pron
tranquillus,tranquilla,tranquillum,I-II
trēs,trēs,trēs,III
tribālis,tribālis,tribāle,III
trīgintā,,,Indecl
trīstis,trīstis,trīste,III
turpis,turpis,turpe,III
tuus,tua,tuum,I-II
ūllus,ūlla,ūllum,Pron
ulter,ultra,ultrum,I-II
ūndecim,,,Indecl
ūndecimus,ūndecima,ūndecimum,I-II
unguīnus,unguīna,unguīnum,I-II
urbānus,urbāna,urbānum,I-II
ursīnus,ursīna,ursīnum,I-II
ūsuālis,ūsuālis,ūsuāle,III
uter,utra,utrum,Pron
uterīnus,uterīna,uterīnum,I-II
uterque,utraque,utrumque,Pron
ūtilis,ūtilis,ūtile,III
vaccīnus,vaccīna,vaccīnum,I-II
vagus,vaga,vagum,I-II
validus,valida,validum,I-II
vēlōx,vēlōx,vēlōx,III
vēnōsus,vēnōsa,vēnōsum,I-II
ventrālis,ventrālis,ventrāle,III
vērnālis,vērnālis,vērnāle,III
vērus,vēra,vērum,I-II
vester,vestra,vestrum,I-II
vetus,vetus,vetus,III
vīcēsimus,vīcēsima,vīcēsimum,I-II
